"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"SW1-SW16","16","MX_Switch","","","","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB",""
"U1","1","Seeeduino XIAO RP2040","","","","XIAO-Generic-Hybrid-14P-2.54-21x17.8mm",""
"D1-D20","20","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"EN1, EN2","2","EC11_Encoder","","","","RotaryEncoder_Alps_EC11_Vertical_Hole",""
"DISP1","1","0.91_OLED_GND_VCC_SCL_SDA","","","","Display_1Pin_OLED_0.91inch",""
"LED1-LED20","20","SK6812_MINI-E","","","","LED_SK6812_MINI-E",""
